19:55:58.909  INFO  manager.ListenerWD - After find element  --> By.cssSelector: .contact-item-detailed_card__50dTS
19:55:58.922  INFO  tests.TestBase - The name of starts method is --->registrationSuccess
19:55:58.922  INFO  manager.ListenerWD - Before find elements  --> By.xpath: //*[text()='Sign Out']
19:55:58.933  INFO  manager.ListenerWD - After find elements  --> By.xpath: //*[text()='Sign Out']
19:55:58.933  INFO  manager.ListenerWD - List size is  --> 1
19:55:58.933  INFO  manager.ListenerWD - Before find element  --> By.xpath: //*[text()='Sign Out']
19:55:58.946  INFO  manager.ListenerWD - After find element  --> By.xpath: //*[text()='Sign Out']
19:55:58.985  INFO  tests.TestBase - Registration with valid data: email:'dom" + i + "@gmail.com'  and password 'Tima1206$'
19:55:58.985  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: a[href='/login']
19:55:58.999  INFO  manager.ListenerWD - After find element  --> By.cssSelector: a[href='/login']
19:55:59.036  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Email']
19:55:59.045  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Email']
19:55:59.133  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: input[placeholder='Password']
19:55:59.141  INFO  manager.ListenerWD - After find element  --> By.cssSelector: input[placeholder='Password']
19:56:01.232  INFO  manager.ListenerWD - Before find element  --> By.cssSelector: [name='registration']
19:56:01.254  INFO  manager.ListenerWD - After find element  --> By.cssSelector: [name='registration']
19:56:01.282  INFO  manager.ListenerWD - Before find elements  --> By.xpath: //*[text()='Sign Out']
19:56:01.604  INFO  manager.ListenerWD - After find elements  --> By.xpath: //*[text()='Sign Out']
19:56:01.604  INFO  manager.ListenerWD - List size is  --> 1
19:56:01.604  INFO  tests.TestBase - Tests success
19:56:01.604  INFO  tests.TestBase - ---------------------------------------------------------------------------------
